Title;Authors;Year;Journal_Conference;DOI_URL;Database_source;Abstract;Inclusion_Exclusion_decision;Reason_for_inclusion_exclusion;Internal_Source_ID
Human cardiac organoids: A recent revolution in disease modelling and regenerative medicine;N. Roshanravan, S. Seifi, M. M. Gholipour, et al.;2023;Journal of Cardiovascular and Thoracic Research;https://doi.org/10.34172/jcvtr.2023.31830;PubMed (PMID: 37654821);This review provides an overview of the recent advances in human cardiac organoid platforms in disease biology and for cardiovascular regenerative medicine applications.;Include;Core cardiac regenerative medicine paper with direct relevance to organoid technology;PMID:37654821
Revisiting Cardiac Biology in the Era of Single Cell and Spatial Omics;Jack A Palmer, Nadia Rosenthal, Sarah A Teichmann, Monika Litvinukova;2024;Circulation Research;https://doi.org/10.1161/CIRCRESAHA.124.323672;PubMed (PMID: 38843288);This review provides a comprehensive overview of the cellular landscape of the heart, bridging suspension-based and emerging in situ approaches.;Include;Directly relevant to cardiac spatial omics and single-cell analysis;PMID:38843288
SM-Omics is an automated platform for high-throughput spatial multi-omics;Sanja Vickovic, Britta Lötstedt, Johanna Klughammer, Åsa Segerstolpe, Orit Rozenblatt-Rosen, Aviv Regev;2022;Nature Communications;https://doi.org/10.1038/s41467-022-28445-y;PubMed (PMID: 35145087);Spatial Multi-Omics is a fully automated high-throughput platform for combined spatial transcriptomics and antibody-based protein measurements.;Include;Core spatial multi-omics methodology with direct relevance;PMID:35145087
Characterizing neonatal heart maturation, regeneration, and scar resolution using spatial transcriptomics;Adwiteeya Misra, Cameron D Baker, Elizabeth M Pritchett, Kimberly N Burgos Villar, John M Ashton, Eric M Small;2022;Journal of Cardiovascular Development and Disease;https://doi.org/10.3390/jcdd9010001;PubMed (PMID: 35050211);Spatial transcriptomics provided near single-cell resolution revealing dynamic phenotypic alterations during postnatal heart maturation.;Include;Spatial transcriptomics application in cardiac development and regeneration;PMID:35050211
DSTG: deconvoluting spatial transcriptomics data through graph-based artificial intelligence;Qianqian Song, Jing Su;2021;Briefings in Bioinformatics;https://doi.org/10.1093/bib/bbaa414;PubMed (PMID: 33480403);DSTG is a method for deconvoluting spatial transcriptomics data through graph-based convolutional networks.;Include;Graph-based AI method for spatial transcriptomics deconvolution;PMID:33480403
Spatial Transcriptomics in Human Cardiac Tissue;Quang Nguyen, William Sheng, Chen Chen, Xuan Luo, Yumeng Wang, Chengming Li, Kun Wang, Neil C. Chi;2025;International Journal of Molecular Sciences;https://doi.org/10.3390/ijms26030995;PubMed (PMID: 39940764);Focuses on the application of spatial transcriptomics in human cardiac tissues using currently available platforms.;Include;Comprehensive review of spatial transcriptomics applications in human cardiac tissue;PMID:39940764
Single cardiomyocyte nuclear transcriptomes reveal a lincRNA-regulated de-differentiation and cell cycle stress-response in vivo;Kelvin See, Wilson L W Tan, Eng How Lim, Zenia Tiang, Li Ting Lee, Peter Y Q Li, Tuan D A Luu, Matthew Ackers-Johnson, Roger S Foo;2017;Nature Communications;https://doi.org/10.1038/s41467-017-00319-8;PubMed (PMID: 28790305);Single nuclear RNA-sequencing reveals subpopulations of cardiomyocytes involved in cell cycle stress responses.;Include;Single-cell nuclear transcriptomics with relevance to regeneration;PMID:28790305
Genome-Wide Temporal Profiling of Transcriptome and Open-Chromatin of Early Cardiomyocyte Differentiation Derived From hiPSCs and hESCs;Qing Liu, Chao Jiang, Jin Xu, Ming-Tao Zhao, Kevin Van Bortle, Xun Cheng, Guangwen Wang, Howard Y Chang, Joseph C Wu, Michael P Snyder;2017;Circulation Research;https://doi.org/10.1161/CIRCRESAHA.116.310456;PubMed (PMID: 28663367);Genome-wide transcriptome and chromatin accessibility profiling during early cardiomyocyte differentiation.;Include;Temporal transcriptome analysis during cardiomyocyte differentiation from iPSCs;PMID:28663367
Co-effects of m6A and chromatin accessibility dynamics in the regulation of cardiomyocyte differentiation;Xue-Hong Liu, Zhun Liu, Ze-Hui Ren, Hong-Xuan Chen, Ying Zhang, Zhang Zhang, Nan Cao, Guan-Zheng Luo;2023;Epigenetics & Chromatin;https://doi.org/10.1186/s13072-023-00506-6;PubMed (PMID: 37568210);Investigates the relationship between m6A modification and cardiomyocyte differentiation.;Include;Epigenetic regulation of cardiomyocyte differentiation with chromatin dynamics;PMID:37568210
spaCI: deciphering spatial cellular communications through adaptive graph model;Ziyang Tang, Tonglin Zhang, Baijian Yang, Jing Su, Qianqian Song;2023;Briefings in Bioinformatics;https://doi.org/10.1093/bib/bbac563;PubMed (PMID: 36545790);spaCI uses adaptive graph models with attention to infer cell-cell communications from spatial transcriptomics.;Include;Adaptive graph model with attention for spatial cellular communication;PMID:36545790
