Phase,Exclusion_Reason,Count,Percentage_of_Initial
Title/Abstract,Duplicate Methodologies,10,2.16
Title/Abstract,Insufficient Deep Learning,10,2.16
Title/Abstract,Preliminary Results,8,1.73
Title/Abstract,No Spatial Resolution,7,1.52
Title/Abstract,Non Cardiac Focus,6,1.3
Title/Abstract,Insufficient Methodology,6,1.3
Title/Abstract,Small Sample Sizes,4,0.87
Title/Abstract,Theoretical Only,4,0.87
Title/Abstract,Other Reasons,5,1.08
Full-text,Not Cardiomyocyte Focused,95,20.56
Full-text,Methodological Overlap Redundancy,85,18.4
Full-text,Insufficient Reproducibility,60,12.99
Full-text,Bulk Transcriptomics Only,45,9.74
Full-text,No Spatial Integration,29,6.28
